term	gene
K04874	NP_002223.3
K04875	NP_002223.3
K04876	NP_002223.3
K04877	NP_002223.3
K04878	NP_002223.3
K04881	NP_002223.3
K04874	NP_002224.1
K04875	NP_002224.1
K04876	NP_002224.1
K04877	NP_002224.1
K04878	NP_002224.1
K04881	NP_002224.1
K04874	NP_002225.2
K04875	NP_002225.2
K04876	NP_002225.2
K04877	NP_002225.2
K04878	NP_002225.2
K04879	NP_002225.2
K04881	NP_002225.2
K04879	NP_002226.1
K04899	NP_002227.2
K04900	NP_002228.2
K04904	NP_002229.1
K04908	NP_002229.1
K04997	NP_002230.1
K04996	NP_002231.1
K04998	NP_002231.1
K04999	NP_002231.1
K05000	NP_002231.1
K05002	NP_002231.1
K05005	NP_002231.1
K05330	NP_002231.1
K05003	NP_002232.2
K05006	NP_002233.2
K05003	NP_002234.2
K05008	NP_002234.2
K04912	NP_002236.1
K04914	NP_002237.1
K04919	NP_002237.1
K04936	NP_002238.2
K04942	NP_002239.2
K04943	NP_002239.2
K04944	NP_002239.2
K04942	NP_002240.3
K04943	NP_002240.3
K04944	NP_002240.3
K04945	NP_002241.1
K04931	NP_002242.2
K04885	NP_002243.3
K04886	NP_002243.3
K04933	NP_002243.3
K05093	NP_002244.1
K05096	NP_002244.1
K05097	NP_002244.1
K05098	NP_002244.1
K08252	NP_002244.1
K10394	NP_002245.4
K20196	NP_002245.4
K20197	NP_002245.4
K20198	NP_002245.4
K01325	NP_002248.1
K05451	NP_002248.1
K06543	NP_002249.1
K06541	NP_002250.2
K06541	NP_002251.2
K06541	NP_002252.2
K06516	NP_002253.2
K15042	NP_002255.3
K15043	NP_002255.3
K14293	NP_002256.2
K15043	NP_002257.1
K15042	NP_002260.2
K15043	NP_002260.2
K18752	NP_002261.3
K20222	NP_002262.4
K07605	NP_002263.3
K07605	NP_002264.1
K07604	NP_002265.3
K07605	NP_002265.3
K07604	NP_002266.3
K07605	NP_002266.3
K07604	NP_002267.2
K07604	NP_002269.3
K07604	NP_002271.3
K07605	NP_002272.2
K07605	NP_002273.3
K07605	NP_002274.1
K15185	NP_002276.2
K15195	NP_002276.2
K06454	NP_002277.4
K06565	NP_002277.4
K00704	NP_002280.1
K06240	NP_002281.3
K06241	NP_002281.3
K05636	NP_002282.2
K06243	NP_002282.2
K05636	NP_002283.3
K06243	NP_002283.3
K05635	NP_002284.3
K06247	NP_002284.3
K06528	NP_002285.1
K02998	NP_002286.2
K21848	NP_002286.2
K00222	NP_002287.2
K19532	NP_002287.2
K17275	NP_002289.2
K17276	NP_002289.2
K17336	NP_002289.2
K01229	NP_002290.2
K00016	NP_002291.1
K05062	NP_002294.2
K05948	NP_002295.1
K06830	NP_002296.1
K10090	NP_002296.1
K06831	NP_002297.2
K06832	NP_002299.2
K10093	NP_002299.2
K17522	NP_002299.2
K05419	NP_002300.1
K05058	NP_002301.1
K10776	NP_002302.2
K10777	NP_002303.2
K15201	NP_002303.2
K07520	NP_002304.3
K05743	NP_002305.1
K05744	NP_002305.1
K09371	NP_002307.2
K00277	NP_002308.2
K00277	NP_002309.1
K00280	NP_002309.1
K04550	NP_002323.2
K20049	NP_002323.2
K20050	NP_002324.2
K20051	NP_002325.2
K03068	NP_002326.2
K22290	NP_002328.1
K06772	NP_002329.2
K06773	NP_002329.2
K06774	NP_002329.2
K03159	NP_002333.1
K14736	NP_002334.2
K17283	NP_002334.2
K05118	NP_002335.2
K08122	NP_002336.1
K06511	NP_002339.2
K06570	NP_002339.2
K06582	NP_002339.2
K06559	NP_002340.2
K06722	NP_002340.2
K05854	NP_002341.1
K08892	NP_002341.1
K07990	NP_002342.1
K06737	NP_002344.2
K17288	NP_002344.2
K06737	NP_002345.2
K17288	NP_002345.2
K10089	NP_002346.1
K12561	NP_002347.5
K09114	NP_002348.1
K02537	NP_002349.1
K09037	NP_002350.1
K09037	NP_002351.1
K06771	NP_002352.1
K12877	NP_002361.1
K01231	NP_002363.2
K10429	NP_002364.5
K04380	NP_002365.3
K10430	NP_002365.3
K10431	NP_002365.3
K10431	NP_002366.2
K08798	NP_002367.5
K04245	NP_002368.1
K04303	NP_002368.1
K06715	NP_002368.1
K05728	NP_002369.2
K08888	NP_002369.2
K06825	NP_002371.3
K17307	NP_002371.3
K19467	NP_002372.1
K04453	NP_002373.3
K00999	NP_002374.2
K11589	NP_002375.1
K17269	NP_002376.1
K04199	NP_002377.4
K02541	NP_002379.4
K04002	NP_002380.3
K04007	NP_002380.3
K04011	NP_002380.3
K06835	NP_002381.2
K08610	NP_002381.2
K16067	NP_002381.2
K16068	NP_002381.2
K06828	NP_002382.1
K06643	NP_002383.2
K06643	NP_002384.2
K10127	NP_002384.2
K06519	NP_002385.3
K00027	NP_002386.1
K00029	NP_002386.1
K00027	NP_002387.1
K00029	NP_002387.1
K04454	NP_002388.2
K09260	NP_002388.2
K15613	NP_002389.1
K16670	NP_002389.1
K16672	NP_002389.1
K15613	NP_002390.1
K16670	NP_002390.1
K16672	NP_002390.1
K04420	NP_002392.2
K04421	NP_002392.2
K05948	NP_002396.2
K00726	NP_002397.2
K00736	NP_002399.1
K00737	NP_002400.3
K00744	NP_002401.1
K09661	NP_002401.1
K00567	NP_002403.3
K00799	NP_002404.1
K05416	NP_002407.1
K17582	NP_002408.3
K05265	NP_002409.1
K04417	NP_002410.1
K04418	NP_002410.1
K04419	NP_002410.1
K17534	NP_002410.1
K01388	NP_002412.1
K01394	NP_002412.1
K01396	NP_002412.1
K01402	NP_002412.1
K01413	NP_002412.1
K07763	NP_002412.1
K07994	NP_002412.1
K07999	NP_002412.1
K01388	NP_002413.1
K01394	NP_002413.1
K01396	NP_002413.1
K01402	NP_002413.1
K01413	NP_002413.1
K07763	NP_002413.1
K07994	NP_002413.1
K07999	NP_002413.1
K01397	NP_002414.1
K01388	NP_002415.1
K01394	NP_002415.1
K01396	NP_002415.1
K01402	NP_002415.1
K01413	NP_002415.1
K07763	NP_002415.1
K07994	NP_002415.1
K07999	NP_002415.1
K01388	NP_002416.1
K01394	NP_002416.1
K01396	NP_002416.1
K01402	NP_002416.1
K01413	NP_002416.1
K07763	NP_002416.1
K07994	NP_002416.1
K07999	NP_002416.1
K01388	NP_002417.2
K01394	NP_002417.2
K01396	NP_002417.2
K01402	NP_002417.2
K01413	NP_002417.2
K07763	NP_002417.2
K07994	NP_002417.2
K07999	NP_002417.2
K07994	NP_002418.1
K07763	NP_002419.1
K07995	NP_002419.1
K07996	NP_002419.1
K07997	NP_002419.1
K08002	NP_002419.1
K08003	NP_002419.1
K07763	NP_002420.1
K07998	NP_002420.1
K10842	NP_002422.1
K12966	NP_002423.1
K12971	NP_002423.1
K20914	NP_002423.1
K03652	NP_002425.2
K01809	NP_002426.1
K21880	NP_002427.1
K13348	NP_002428.1
K06560	NP_002429.1
K08736	NP_002430.3
K08740	NP_002431.2
K14415	NP_002431.2
K14411	NP_002433.1
K05762	NP_002435.1
K05763	NP_002435.1
K08007	NP_002435.1
K06558	NP_002436.1
K04417	NP_002437.2
K04418	NP_002437.2
K04419	NP_002437.2
K17534	NP_002437.2
K05099	NP_002438.2
K05100	NP_002438.2
K09341	NP_002439.2
K09341	NP_002440.2
K00772	NP_002442.2
K03574	NP_002443.3
K17816	NP_002443.3
K02519	NP_002444.2
K00597	NP_002445.2
K06568	NP_002447.4
K03900	NP_002449.2
K10955	NP_002449.2
K13908	NP_002449.2
K21125	NP_002449.2
K09444	NP_002451.2
K09445	NP_002451.2
K01597	NP_002452.1
K14754	NP_002453.2
K14754	NP_002454.1
K12557	NP_002456.2
K09420	NP_002457.1
K09421	NP_002457.1
K21769	NP_002457.1
K04377	NP_002458.2
K09111	NP_002458.2
K04729	NP_002459.3
K18484	NP_002460.1
K18485	NP_002460.1
K20225	NP_002460.1
K10352	NP_002461.2
K17751	NP_002461.2
K10352	NP_002462.2
K17751	NP_002462.2
K10352	NP_002463.2
K17751	NP_002463.2
K10352	NP_002464.1
K17751	NP_002464.1
K18669	NP_002464.1
K12751	NP_002466.1
K12749	NP_002467.1
K12750	NP_002467.1
K12753	NP_002468.1
K09064	NP_002469.2
K18484	NP_002469.2
K18483	NP_002470.2
K06270	NP_002471.1
K12329	NP_002472.2
K11291	NP_002473.2
K06499	NP_002474.4
K06500	NP_002474.4
K10867	NP_002476.2
K10888	NP_002476.2
K12882	NP_002477.1
K13288	NP_002477.1
K03946	NP_002479.1
K03948	NP_002480.1
K03959	NP_002482.1
K03961	NP_002483.1
K03962	NP_002484.1
K03967	NP_002485.1
K03937	NP_002486.1
K03941	NP_002487.1
K20872	NP_002488.1
K20873	NP_002489.1
K06765	NP_002490.2
K06766	NP_002490.2
K14395	NP_002490.2
K08033	NP_002491.3
K09079	NP_002491.3
K09080	NP_002491.3
K09171	NP_002492.2
K02580	NP_002493.3
K04469	NP_002493.3
K12236	NP_002495.2
K08064	NP_002496.1
K02582	NP_002497.2
K02583	NP_002498.1
K06826	NP_002499.2
K08029	NP_002500.1
K09995	NP_002500.1
K20732	NP_002501.1
K04168	NP_002502.2
K00940	NP_002503.1
K00940	NP_002504.2
K14944	NP_002506.2
K14944	NP_002507.1
K09098	NP_002508.2
K02223	NP_002509.2
K09026	NP_002509.2
K11276	NP_002511.1
K12334	NP_002512.1
K12335	NP_002512.1
K07827	NP_002515.1
K07828	NP_002515.1
K01411	NP_002516.2
K01081	NP_002517.1
K19970	NP_002517.1
K04356	NP_002518.1
K12457	NP_002518.1
K10773	NP_002519.2
K03176	NP_002520.2
K04360	NP_002520.2
K05101	NP_002520.2
K03176	NP_002521.2
K04360	NP_002521.2
K05101	NP_002521.2
K04211	NP_002522.2
K14318	NP_002523.2
K14571	NP_002524.2
K14216	NP_002525.2
K14608	NP_002525.2
K14216	NP_002526.2
K16548	NP_002528.1
K16613	NP_002528.1
K01581	NP_002530.1
K16479	NP_002531.3
K00164	NP_002532.2
K03660	NP_002533.1
K20315	NP_002533.1
K08763	NP_002534.1
K06772	NP_002536.1
K06773	NP_002536.1
K06774	NP_002536.1
K05143	NP_002537.3
K05148	NP_002537.3
K05157	NP_002537.3
K20650	NP_002538.1
K04257	NP_002539.2
K04257	NP_002541.2
K04257	NP_002542.4
K02606	NP_002543.2
K02607	NP_002544.1
K20456	NP_002547.1
K20462	NP_002547.1
K01183	NP_002548.3
K17526	NP_002548.3
K05215	NP_002549.1
K05218	NP_002549.1
K05219	NP_002549.1
K05217	NP_002550.2
K05215	NP_002551.2
K05218	NP_002551.2
K05219	NP_002551.2
K05215	NP_002552.2
K05218	NP_002552.2
K05219	NP_002552.2
K05220	NP_002553.3
K04270	NP_002554.1
K04269	NP_002555.4
K04271	NP_002556.1
K08387	NP_002557.2
K12367	NP_002558.1
K17439	NP_002558.1
K13126	NP_002559.2
K01349	NP_002560.1
K01359	NP_002560.1
K08654	NP_002560.1
K08672	NP_002560.1
K01349	NP_002561.1
K01359	NP_002561.1
K08654	NP_002561.1
K08672	NP_002561.1
K16795	NP_002563.1
K16795	NP_002564.1
K03386	NP_002565.1
K13279	NP_002565.1
K19821	NP_002566.1
K01930	NP_002567.3
K04409	NP_002567.3
K04410	NP_002567.3
K05733	NP_002567.3
K01930	NP_002568.2
K04409	NP_002568.2
K04410	NP_002568.2
K05733	NP_002568.2
K01930	NP_002569.1
K04409	NP_002569.1
K04410	NP_002569.1
K05733	NP_002569.1
K16519	NP_002570.2
K22244	NP_002571.1
K07762	NP_002572.2
K08647	NP_002572.2
K08031	NP_002575.1
K09381	NP_002575.1
K09355	NP_002576.1
K15609	NP_002576.1
K15610	NP_002576.1
K16498	NP_002578.2
K16493	NP_002579.2
K16495	NP_002579.2
K16496	NP_002579.2
K16497	NP_002579.2
K16498	NP_002579.2
K16498	NP_002580.2
K16499	NP_002581.2
K01596	NP_002582.3
K04802	NP_002583.1
K01360	NP_002585.2
K08820	NP_002586.2
K15595	NP_002586.2
K15596	NP_002586.2
K08820	NP_002587.2
K15595	NP_002587.2
K15596	NP_002587.2
K08327	NP_002588.3
K14801	NP_002589.2
K18283	NP_002590.1
K13293	NP_002591.2
K13758	NP_002592.1
K13759	NP_002593.1
K13760	NP_002593.1
K13293	NP_002594.1
K18436	NP_002594.1
K18437	NP_002596.1
K13761	NP_002597.1
K18437	NP_002597.1
K04359	NP_002598.4
K04359	NP_002599.1
K05449	NP_002599.1
K17386	NP_002599.1
K05089	NP_002600.1
K00898	NP_002601.1
K12077	NP_002601.1
K00898	NP_002602.2
K12077	NP_002602.2
K00898	NP_002603.1
K12077	NP_002603.1
K06276	NP_002604.1
K19614	NP_002606.3
K02633	NP_002607.2
K21944	NP_002607.2
K13346	NP_002608.1
K13344	NP_002609.1
K05407	NP_002610.1
K05407	NP_002611.1
K15412	NP_002612.1
K09548	NP_002613.2
K09550	NP_002614.2
K01103	NP_002616.2
K19028	NP_002616.2
K19029	NP_002616.2
K19030	NP_002616.2
K00850	NP_002617.3
K00850	NP_002618.1
K05759	NP_002619.1
K01834	NP_002620.1
K01377	NP_002621.1
K00033	NP_002622.2
K11511	NP_002622.2
K16859	NP_002623.2
K01835	NP_002624.2
K15636	NP_002624.2
K17080	NP_002625.1
K15102	NP_002626.1
K07190	NP_002628.2
K10139	NP_002630.2
K13963	NP_002631.3
K13965	NP_002631.3
K19821	NP_002631.3
K03857	NP_002632.1
K03859	NP_002633.1
K05287	NP_002634.1
K13073	NP_002635.2
K00923	NP_002636.2
K00923	NP_002637.3
K00914	NP_002638.2
K04702	NP_002639.1
K08807	NP_002639.1
K21289	NP_002640.2
K19801	NP_002642.1
K04686	NP_002644.4
K09356	NP_002644.4
K09362	NP_002644.4
K00873	NP_002645.3
K12406	NP_002645.3
K19484	NP_002646.2
K19486	NP_002646.2
K19484	NP_002648.1
K19486	NP_002648.1
K01348	NP_002649.2
K03985	NP_002650.1
K01116	NP_002651.2
K05859	NP_002651.2
K01116	NP_002652.2
K05859	NP_002652.2
K01115	NP_002653.1
K01115	NP_002654.3
K19993	NP_002655.2
K01315	NP_002656.1
K09644	NP_002656.1
K08768	NP_002657.3
K05852	NP_002658.1
K12862	NP_002660.1
K17275	NP_002661.2
K17276	NP_002661.2
K17336	NP_002661.2
K06821	NP_002664.2
K05229	NP_002665.2
K10054	NP_002666.1
K17497	NP_002667.2
K08752	NP_002668.1
K12591	NP_002676.1
K00541	NP_002677.1
K00553	NP_002677.1
K13114	NP_002678.3
K04557	NP_002679.2
K06262	NP_002679.2
K16942	NP_002679.2
K16943	NP_002679.2
K02321	NP_002680.2
K02330	NP_002681.1
K02327	NP_002682.2
K02325	NP_002683.2
K02332	NP_002684.1
K03013	NP_002686.3
K03015	NP_002687.1
K09186	NP_002687.1
K09364	NP_002688.3
K09364	NP_002689.1
K09365	NP_002690.3
K09366	NP_002691.1
K00764	NP_002694.3
K10029	NP_002695.1
K10030	NP_002695.1
K10386	NP_002696.4
K04457	NP_002697.1
K04461	NP_002697.1
K06269	NP_002699.1
K06269	NP_002700.1
K06269	NP_002701.1
K07189	NP_002702.2
K17550	NP_002703.1
K13216	NP_002704.1
K04382	NP_002706.1
K03456	NP_002707.3
K04354	NP_002708.1
K11583	NP_002709.2
K11584	NP_002710.2
K15423	NP_002711.1
K15498	NP_002712.1
K05234	NP_002713.1
K08125	NP_002716.1
K01322	NP_002717.3
K06849	NP_002718.2
K05217	NP_002719.3
K10786	NP_002719.3
K07763	NP_002720.1
K08024	NP_002720.1
K04345	NP_002722.1
K04345	NP_002723.2
K07200	NP_002724.1
K20346	NP_002724.1
K04739	NP_002725.1
K04739	NP_002726.1
K02677	NP_002728.2
K19662	NP_002728.2
K19663	NP_002728.2
K02677	NP_002729.2
K19662	NP_002729.2
K19663	NP_002729.2
K02677	NP_002730.1
K19662	NP_002730.1
K19663	NP_002730.1
K06069	NP_002731.4
K18952	NP_002731.4
K06071	NP_002732.3
K06070	NP_002733.2
K08288	NP_002734.2
K18952	NP_002735.3
K04371	NP_002736.3
K04371	NP_002737.2
K22387	NP_002737.2
K06855	NP_002738.2
K06855	NP_002739.1
K04464	NP_002740.2
K04441	NP_002742.3
K04440	NP_002743.3
K04440	NP_002744.1
K04441	NP_002745.1
K04368	NP_002746.1
K04369	NP_002746.1
K04432	NP_002747.2
K04433	NP_002747.2
K04463	NP_002748.1
K04432	NP_002749.2
K04433	NP_002749.2
K16195	NP_002750.1
K20211	NP_002754.2
K00948	NP_002755.1
K00948	NP_002756.1
K12197	NP_002759.2
K01312	NP_002762.3
K01324	NP_002762.3
K01316	NP_002763.3
K09614	NP_002763.3
K09640	NP_002763.3
K08664	NP_002764.1
K09628	NP_002764.1
K09629	NP_002764.1
K08667	NP_002765.1
K09640	NP_002765.1
K08669	NP_002766.1
K08784	NP_002766.1
K09619	NP_002767.2
K12382	NP_002769.1
K12494	NP_002770.3
K06499	NP_002771.2
K06500	NP_002771.2
K06500	NP_002772.3
K06499	NP_002773.1
K06500	NP_002773.1
K06499	NP_002774.2
K06500	NP_002774.2
K06499	NP_002775.3
K06500	NP_002775.3
K06499	NP_002776.3
K06500	NP_002776.3
K02725	NP_002777.1
K13141	NP_002777.1
K02726	NP_002778.1
K02727	NP_002779.1
K02728	NP_002780.1
K02729	NP_002781.2
K02730	NP_002782.1
K02731	NP_002783.1
K02732	NP_002784.1
K02734	NP_002785.1
K02736	NP_002787.2
K02737	NP_002788.1
K02740	NP_002788.1
K02738	NP_002789.1
K02741	NP_002789.1
K02733	NP_002790.1
K02739	NP_002790.1
K02733	NP_002792.1
K02739	NP_002792.1
K03062	NP_002793.2
K03061	NP_002794.1
K03065	NP_002795.2
K03066	NP_002796.4
K03064	NP_002797.4
K20858	NP_002797.4
K03032	NP_002798.2
K03028	NP_002799.3
K03033	NP_002800.2
K03029	NP_002801.1
K03038	NP_002802.2
K03031	NP_002803.2
K06693	NP_002804.2
K06694	NP_002805.1
K03036	NP_002806.2
K03035	NP_002807.1
K03039	NP_002808.3
K08524	NP_002810.1
K13218	NP_002810.1
K14948	NP_002810.1
K17844	NP_002810.1
K05127	NP_002812.2
K08870	NP_002813.3
K13784	NP_002814.3
K16642	NP_002816.1
K10758	NP_002817.2
K05696	NP_002818.1
K18026	NP_002818.1
K05696	NP_002819.2
K18026	NP_002819.2
K18027	NP_002820.3
K18037	NP_002820.3
K18027	NP_002821.1
K18037	NP_002821.1
K05697	NP_002822.2
K18019	NP_002823.4
K18038	NP_002824.1
K07293	NP_002825.3
K18024	NP_002826.3
K18032	NP_002827.1
K05694	NP_002828.3
K05695	NP_002830.1
K06777	NP_002830.1
K06778	NP_002830.1
K05695	NP_002831.2
K06777	NP_002831.2
K06778	NP_002831.2
K08114	NP_002832.3
K16667	NP_002832.3
K18034	NP_002833.4
K05698	NP_002834.3
K05693	NP_002836.3
K06776	NP_002836.3
K13297	NP_002836.3
K07817	NP_002837.1
K07817	NP_002838.2
K18035	NP_002839.1
K04458	NP_002840.2
K18018	NP_002840.2
K20220	NP_002840.2
K05695	NP_002841.3
K06777	NP_002841.3
K06778	NP_002841.3
K19599	NP_002841.3
K08114	NP_002842.2
K16667	NP_002842.2
K02830	NP_002844.1
K06081	NP_002846.3
K06081	NP_002847.1
K06531	NP_002847.1
K13337	NP_002848.1
K05677	NP_002849.1
K05760	NP_002850.2
K12657	NP_002851.2
K00967	NP_002852.1
K00688	NP_002853.2
K00688	NP_002854.3
K03910	NP_002855.2
K07877	NP_002856.1
K06108	NP_002857.1
K07882	NP_002857.1
K07883	NP_002857.1
K06108	NP_002858.2
K07882	NP_002858.2
K07883	NP_002858.2
K07888	NP_002859.1
K07889	NP_002859.1
K07893	NP_002860.2
K07894	NP_002860.2
K07895	NP_002860.2
K07896	NP_002860.2
K06109	NP_002861.1
K19952	NP_002862.2
K04392	NP_002863.1
K07860	NP_002863.1
K07861	NP_002863.1
K10839	NP_002865.1
K04482	NP_002866.2
K10870	NP_002867.1
K10869	NP_002868.1
K10871	NP_002869.3
K04365	NP_002871.1
K04366	NP_002871.1
K05695	NP_002871.1
K08845	NP_002871.1
K07834	NP_002872.1
K07835	NP_002872.1
K15306	NP_002873.1
K14319	NP_002874.1
K04353	NP_002875.1
K07836	NP_002875.1
K17700	NP_002876.2
K17708	NP_002876.2
K07837	NP_002877.2
K07838	NP_002877.2
K07839	NP_002877.2
K01887	NP_002878.2
K10044	NP_002880.1
K04352	NP_002881.1
K04349	NP_002882.3
K12326	NP_002882.3
K14549	NP_002882.3
K07874	NP_002883.3
K19194	NP_002883.3
K19195	NP_002883.3
K10752	NP_002884.1
K11659	NP_002884.1
K20773	NP_002885.1
K04681	NP_002886.2
K07605	NP_002886.2
K16332	NP_002886.2
K13187	NP_002887.2
K17289	NP_002890.2
K10841	NP_002891.1
K13764	NP_002894.1
K00019	NP_002896.2
K00061	NP_002896.2
K11154	NP_002896.2
K13369	NP_002896.2
K05762	NP_002897.1
K05763	NP_002897.1
K08007	NP_002897.1
K10899	NP_002898.2
K09254	NP_002899.1
K06721	NP_002900.2
K22244	NP_002900.2
K01787	NP_002901.2
K14326	NP_002902.2
K02350	NP_002903.3
K10754	NP_002904.3
K10755	NP_002905.2
K10756	NP_002906.1
K10755	NP_002907.1
K05948	NP_002908.1
K09173	NP_002910.1
K04254	NP_002912.2
K16449	NP_002913.3
K18154	NP_002914.1
K16449	NP_002915.3
K16449	NP_002916.1
K16449	NP_002917.1
K16449	NP_002918.1
K16449	NP_002919.3
K07832	NP_002921.1
K07833	NP_002921.1
K07847	NP_002921.1
K01168	NP_002924.1
K16631	NP_002924.1
K01168	NP_002925.1
K10787	NP_002925.1
K01168	NP_002926.2
K10787	NP_002926.2
K03469	NP_002927.2
K01168	NP_002928.1
K16631	NP_002928.1
K16632	NP_002928.1
K06174	NP_002931.2
K06753	NP_002932.1
K06754	NP_002932.1
K06755	NP_002932.1
K06753	NP_002933.1
K06754	NP_002933.1
K06755	NP_002933.1
K08532	NP_002934.1
K08533	NP_002934.1
K08701	NP_002934.1
K14033	NP_002934.1
K05088	NP_002935.2
K07466	NP_002936.1
K10739	NP_002937.1
K10740	NP_002938.1
K02877	NP_002939.2
K15276	NP_002939.2
K02935	NP_002940.2
K13577	NP_002940.2
K12666	NP_002941.1
K02977	NP_002945.1
K10421	NP_002947.1
K10422	NP_002947.1
K10423	NP_002947.1
K07295	NP_002948.1
K08524	NP_002948.1
K08525	NP_002948.1
K08526	NP_002948.1
K14030	NP_002948.1
K05128	NP_002949.2
K08252	NP_002949.2
K12388	NP_002950.3
K21126	NP_002954.2
K21127	NP_002955.2
K21128	NP_002956.1
K17274	NP_002957.1
K19871	NP_002959.2
K04441	NP_002960.2
K00657	NP_002961.1
K18061	NP_002963.2
K13963	NP_002965.1
K13966	NP_002965.1
K17521	NP_002966.1
K04839	NP_002967.2
K04833	NP_002968.1
K04834	NP_002968.1
K04836	NP_002968.1
K04837	NP_002968.1
K04838	NP_002968.1
K04840	NP_002968.1
K04841	NP_002968.1
K08764	NP_002970.2
K04588	NP_002971.2
K05509	NP_002972.1
K05514	NP_002972.1
K16595	NP_002972.1
K05509	NP_002973.1
K12964	NP_002973.1
K14624	NP_002973.1
K12964	NP_002977.1
K16596	NP_002977.1
K16597	NP_002977.1
K21092	NP_002977.1
K21094	NP_002977.1
K21097	NP_002977.1
K05408	NP_002978.1
K12499	NP_002978.1
K21083	NP_002978.1
K21092	NP_002978.1
K16062	NP_002980.1
K21095	NP_002981.2
K21097	NP_002982.2
K05505	NP_002984.1
K05506	NP_002984.1
K10030	NP_002984.1
K05505	NP_002985.1
K05506	NP_002985.1
K10030	NP_002985.1
K05507	NP_002986.1
K05508	NP_002987.1
K06257	NP_002988.4
K16336	NP_002989.2
K16338	NP_002990.2
K00236	NP_002992.1
K00237	NP_002993.1
K09518	NP_002993.1
K06494	NP_002996.2
K06495	NP_002996.2
K06496	NP_002996.2
K17495	NP_002996.2
K06544	NP_002997.2
K04430	NP_003001.1
K11290	NP_003002.2
K02166	NP_003003.3
K02176	NP_003003.3
K02222	NP_003003.3
K02176	NP_003004.1
K02185	NP_003005.2
K02166	NP_003006.2
K02176	NP_003006.2
K02222	NP_003006.2
K12891	NP_003007.2
K12892	NP_003008.1
K10068	NP_003010.4
K16365	NP_003012.1
K07984	NP_003014.3
K20045	NP_003015.2
K11247	NP_003016.1
K11247	NP_003017.1
K06279	NP_003020.2
K17447	NP_003020.2
K17448	NP_003020.2
K17449	NP_003020.2
K09331	NP_003021.3
K04506	NP_003022.3
K00778	NP_003023.1
K00779	NP_003023.1
K00780	NP_003024.1
K03368	NP_003024.1
K03369	NP_003025.1
K03371	NP_003025.1
K16724	NP_003026.2
K18499	NP_003027.1
K06536	NP_003028.1
K05615	NP_003029.2
K07191	NP_003030.1
K07299	NP_003030.1
K08143	NP_003030.1
K12201	NP_003030.1
K13855	NP_003031.3
K13856	NP_003031.3
K14158	NP_003032.1
K14382	NP_003032.1
K14383	NP_003032.1
K14384	NP_003032.1
K14389	NP_003032.1
K14391	NP_003032.1
K05034	NP_003033.3
K05039	NP_003034.2
K05039	NP_003035.3
K13863	NP_003036.1
K13864	NP_003036.1
K13865	NP_003036.1
K13863	NP_003037.4
K13864	NP_003037.4
K13865	NP_003037.4
K05742	NP_003038.2
K12040	NP_003038.2
K13961	NP_003038.2
K14722	NP_003038.2
K14723	NP_003038.2
K05742	NP_003039.2
K12040	NP_003039.2
K13961	NP_003039.2
K14722	NP_003039.2
K14723	NP_003039.2
K14341	NP_003040.1
K14683	NP_003043.3
K08155	NP_003044.1
K08155	NP_003045.2
K14636	NP_003046.2
K08198	NP_003048.1
K08199	NP_003049.2
K08200	NP_003049.2
K08202	NP_003049.2
K08202	NP_003050.2
K08202	NP_003051.1
K06838	NP_003052.2
K06839	NP_003052.2
K06850	NP_003052.2
K19036	NP_003052.2
K06838	NP_003053.2
K06839	NP_003053.2
K06850	NP_003053.2
K05706	NP_003059.1
K09218	NP_003059.1
K11654	NP_003060.2
K11727	NP_003060.2
K11647	NP_003061.3
K15711	NP_003062.2
K11647	NP_003063.2
K11649	NP_003065.3
K11649	NP_003066.2
K11650	NP_003067.3
K11650	NP_003069.2
K11651	NP_003070.3
K12351	NP_003071.2
K08508	NP_003072.2
K18211	NP_003072.2
K15208	NP_003073.1
K15209	NP_003074.1
K09453	NP_003077.2
K04528	NP_003078.2
K17455	NP_003079.1
K11093	NP_003080.2
K08672	NP_003081.2
K11092	NP_003081.2
K11086	NP_003082.1
K11100	NP_003082.1
K11091	NP_003083.1
K11094	NP_003083.1
K11095	NP_003084.1
K11097	NP_003085.1
K11098	NP_003086.1
K11099	NP_003087.1
K11086	NP_003088.1
K11100	NP_003088.1
K17917	NP_003090.2
K17917	NP_003091.2
K00637	NP_003092.4
K16627	NP_003093.2
K00008	NP_003095.2
K09267	NP_003097.1
K16796	NP_003097.1
K09268	NP_003098.1
K09268	NP_003099.1
K04684	NP_003100.1
K09200	NP_003100.1
K09192	NP_003101.3
K09193	NP_003102.1
K09194	NP_003102.1
K22401	NP_003102.1
K09193	NP_003103.2
K09194	NP_003103.2
K09200	NP_003103.2
K15413	NP_003104.2
K19870	NP_003105.2
K00972	NP_003106.3
K21875	NP_003107.1
K01197	NP_003108.2
K09552	NP_003110.1
K09438	NP_003111.2
K09439	NP_003112.2
K06477	NP_003114.1
K00072	NP_003115.1
K06114	NP_003117.2
K06114	NP_003118.2
K06115	NP_003119.2
K00511	NP_003120.2
K04378	NP_003122.1
K00797	NP_003123.2
K03109	NP_003124.1
K03104	NP_003125.3
K03105	NP_003126.1
K03106	NP_003127.1
K08831	NP_003128.3
K08832	NP_003128.3
K15409	NP_003128.3
K13431	NP_003130.2
K09266	NP_003131.1
K03006	NP_003132.2
K04617	NP_003132.2
K10651	NP_003132.2
K12000	NP_003132.2
K12009	NP_003132.2
K12012	NP_003132.2
